Kelompok Umur,,,
,Jumlah Penduduk Menurut Kelompok Umur dan Jenis Kelamin di Provinsi Maluku (Jiwa),,
,Laki-laki,Perempuan,Laki-laki+Perempuan
,2025,2025,2025
4/1/00,96198,92248,188446
5/9/01,80426,77107,157533
10/14/01,77477,74423,151900
15-19,92181,85520,177701
20-24,92336,86093,178429
25-29,90384,85655,176039
30-34,84474,81180,165654
35-39,75215,73907,149122
40-44,66894,66677,133571
45-49,58682,59549,118231
50-54,50211,51553,101764
55-59,41349,42871,84220
60-64,32838,34511,67349
65-69,24462,26045,50507
70-74,16566,17942,34508
75+,16474,19115,35589
Jumlah,996167,974396,1970563
