Wilayah,Proyeksi Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-Laki,Perempuan
,2025,2025
Sumba Barat,80527,77068
Sumba Timur,134682,128293
Kupang,194020,189367
Timor Tengah Selatan,242011,245988
Timor Tengah Utara,140357,139280
Belu,120216,120176
Alor,113203,115301
Lembata,70452,74819
Flores Timur,146119,150641
Sikka,168336,176983
Ende,139390,144775
Ngada,87071,89391
Manggarai,170185,169968
Rote Ndao,78172,77199
Manggarai Barat,141320,140372
Sumba Tengah,48274,45913
Sumba Barat Daya,171513,163987
Nagekeo,84334,86335
Manggarai Timur,152406,149119
Sabu Raijua,48972,47287
Malaka,96794,99214
Kota Kupang,242903,239831
Nusa Tenggara Timur,2871257,2871307
