Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,33.55,32.22,65.77
5/9/26,25.15,23.98,49.13
10/14/26,23.9,23.09,46.99
15-19,27.78,25.7,53.48
20-24,28.96,26.27,55.23
25-29,29.76,27.44,57.2
30-34,29.82,27.1,56.92
35-39,28.08,25.23,53.31
40-44,25.24,22.74,47.98
45-49,21.5,19.47,40.97
50-54,17.75,16,33.75
55-59,13.76,12.18,25.94
60-64,10.35,9.46,19.81
65-69,7.36,6.63,13.99
70-74,4.8,4.34,9.14
75+,3.45,3.38,6.83
Jumlah/Total,331.21,305.23,636.44
