Kabupaten/Kota (1),,,
,Jumlah Penduduk Menurut Kabupaten/Kota dan Jenis Kelamin di Provinsi Papua Barat (Jiwa),,
,Laki-laki,Perempuan,Total
,2025,2025,2025
Fakfak,46535,44906,91441
Kaimana,35208,32587,67795
Teluk Wondama,24365,22230,46595
Teluk Bintuni,52794,39215,92009
Manokwari,107700,100321,208021
Sorong Selatan,-,-,-
Sorong,-,-,-
Raja Ampat,-,-,-
Tambrauw,-,-,-
Maybrat,-,-,-
Manokwari Selatan,20332,19239,39571
Pegunungan Arfak,21490,20723,42213
Kota Sorong,-,-,-
Papua Barat,308424,279221,587645
