Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,75.51,72.62,148.13
5/9/26,38.5,35.92,74.42
10/14/26,50.86,47.4,98.26
15-19,53.09,43.77,96.86
20-24,67.38,56.86,124.24
25-29,78.73,65.6,144.33
30-34,74.83,62.85,137.68
35-39,68.38,58.19,126.57
40-44,58.81,55.38,114.19
45-49,59.78,55.91,115.69
50-54,47.77,47.13,94.9
55-59,44,37.5,81.5
60-64,30.52,26.66,57.18
65-69,23.23,15.85,39.08
70-74,11.66,7.83,19.49
75+,8.03,4.31,12.34
Jumlah/Total,791.08,693.78,1073.6
