Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,28.14,27.08,55.22
5/9/26,47.03,45.16,92.19
10/14/26,33.27,33.12,66.39
15-19,23.87,21.57,45.44
20-24,19.37,16.5,35.87
25-29,19.98,17.83,37.81
30-34,19.07,17.99,37.06
35-39,19.95,18.52,38.47
40-44,18.52,16.17,34.69
45-49,14.88,13.23,28.11
50-54,12.77,10.82,23.59
55-59,8.97,8.55,17.52
60-64,7.92,6.9,14.82
65-69,4.62,4.91,9.53
70-74,3.48,3.19,6.67
75+,3.19,3.07,6.26
Jumlah/Total,285.03,264.61,549.64
