Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,76.64,73.68,150.32
5/9/26,55.28,52.56,107.84
10/14/26,65.66,61.5,127.16
15-19,57.46,48.23,105.69
20-24,61.52,50.63,112.15
25-29,69.18,57.88,127.06
30-34,72.11,63.07,135.18
35-39,66.48,63.7,130.18
40-44,66.93,61.59,128.52
45-49,56.94,51.9,108.84
50-54,49.86,42.38,92.24
55-59,37.45,29.89,67.34
60-64,25.78,19.49,45.27
65-69,15.65,11,26.65
70-74,8.71,5.98,14.69
75+,7.84,5.37,13.21
Jumlah/Total,793.49,698.85,1492.34
