Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,123.1,118.2,241.4
5/9/01,124.6,119.6,244.2
10/14/01,128.3,123,251.3
15-19,133.9,127.1,260.9
20-24,138.1,132.4,270.5
25-29,137.9,134,271.9
30-34,135.1,132.9,268
35-39,134.5,133.8,268.3
40-44,133,133.7,266.7
45-49,132.3,135.9,268.2
50-54,125.1,130.7,255.9
55-59,117.1,125.2,242.3
60-64,100.7,110.5,211.2
65-69,81.4,91.7,173
70-74,58.3,69.2,127.5
75+,66.9,93.5,160.4
Jumlah/Total,1870.1,1911.4,3781.6
