Kelompok Umur,,,
,Jumlah Penduduk Provinsi DKI Jakarta Menurut Kelompok Umur dan Jenis Kelamin (Jiwa),,
,Laki-laki,Perempuan,Jumlah
,2025,2025,2025
4/1/00,369414,354957,724371
5/9/01,397165,378512,775677
10/14/01,404052,384816,788868
15-19,413092,392642,805734
20-24,413802,398186,811988
25-29,410712,400420,811132
30-34,409226,404359,813585
35-39,424269,422385,846654
40-44,418832,417145,835977
45-49,411427,409344,820771
50-54,369974,369731,739705
55-59,311385,313553,624938
60-64,245428,253633,499061
65+,362049,417465,779514
Jumlah,5360827,5317148,10677975
