Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,2032.4,1951.1,3983.5
5/9/01,1990.1,1899.3,3889.3
10/14/01,1962.2,1875.6,3837.8
15-19,2067.3,1943.9,4011.1
20-24,2067.7,1949.3,4017
25-29,2078.3,1974.8,4053.2
30-34,2044.9,1968.1,4013
35-39,1997.2,1945.8,3943
40-44,1889.1,1860.4,3749.5
45-49,1777.4,1776.8,3554.2
50-54,1581,1590.2,3171.3
55-59,1349.4,1359.1,2708.5
60-64,1084.9,1101.1,2186
65-69,797.2,810.4,1607.6
70-74,530.7,553.6,1084.3
75+,432.3,517.4,949.7
Jumlah/Total,25682.1,25076.9,50759
,,,
Catatan,,,
Hasil Proyeksi Penduduk  Jawa Barat 2020 -2035 /Jawa Barat Population Projection Results 2020 -2035,,,
