Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,1453486,1395492,2848978
5/9/01,1378005,1314670,2692675
10/14/01,1388617,1324616,2713233
15-19,1434037,1349663,2783700
20-24,1453872,1371580,2825452
25-29,1488450,1405197,2893647
30-34,1478667,1407466,2886133
35-39,1457127,1406076,2863203
40-44,1404285,1376799,2781084
45-49,1344073,1352647,2696720
50-54,1229032,1260829,2489861
55-59,1100859,1156162,2257021
60-64,920100,984473,1904573
65-69,721747,779311,1501058
70-74,500418,558377,1058795
75+,450659,587141,1037800
Jumlah/Total,19203434,19030499,38233933
