Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,1498,1438.2,2936.2
5/9/01,1432.3,1370,2802.4
10/14/01,1496.4,1433,2929.4
15-19,1515.6,1431.5,2947.1
20-24,1538.7,1461.2,2999.9
25-29,1576.4,1508.9,3085.3
30-34,1580.6,1533.4,3114
35-39,1574,1554.6,3128.6
40-44,1541.9,1547.3,3089.1
45-49,1517.4,1555.6,3073
50-54,1408.7,1464,2872.6
55-59,1278.9,1349.9,2628.8
60-64,1073.3,1153.2,2226.5
65-69,838.4,912.3,1750.7
70-74,582,659.3,1241.3
75+,525.9,738.5,1264.4
Jumlah/Total,20978.5,21110.8,42089.3
