Kabupaten/Kota + Provinsi,[Proyeksi SP2020] Penduduk Menurut Kabupaten/Kota dan Jenis Kelamin (Ribu Jiwa),
,Laki-Laki,Perempuan
,2025,2025
KALIMANTAN SELATAN,2185,2138.33
TANAH LAUT,188.46,180.45
KOTABARU,178.93,169.32
BANJAR,307.5,302.14
BARITO KUALA,170,165.65
TAPIN,101.63,99.57
HULU SUNGAI SELATAN,121.4,120.13
HULU SUNGAI TENGAH,136.5,134.73
HULU SUNGAI UTARA,119.98,119.66
TABALONG,136.95,133.35
TANAH BUMBU,177.44,169.82
BALANGAN,70.82,69.28
KOTA BANJARMASIN,335.51,335.33
KOTA BANJAR BARU,139.88,138.92
,,
Catatan,Sumber: Sensus Penduduk,
