wilayah,laki_laki,perempuan
,2025,2025
4/1/00,153711,150127
5/9/01,151810,148775
10/14/01,150656,144694
15-19,151193,144885
20-24,154665,148629
25-29,158041,152011
30-34,154819,150184
35-39,150707,145281
40-44,149971,142641
45-49,145465,133236
50-54,138118,118586
55-59,117803,101832
60-64,90955,81073
65-69,64089,56637
70-74,37557,32945
75+,29170,29242
Kalimantan Timur,1998730,1880778
,,
Catatan,"Sumber: BPS, Proyeksi Penduduk Kabupaten/Kota Provinsi Kalimantan Timur, 2015-2025","Sumber: BPS, Proyeksi Penduduk Kabupaten/Kota Provinsi Kalimantan Timur, 2015-2025"
