Kabupaten/Kota,[Proyeksi 2020-2035] Jumlah Penduduk Menurut Kabupaten/Kota dan Jenis Kelamin di Provinsi Sumatera Barat (Ribu Jiwa),
,Laki-Laki,Perempuan
,2025,2025
Kab. Kepulauan Mentawai,48.58,45.46
Kab. Pesisir Selatan,271.71,268.68
Kab. Solok,208.9,206.54
Kab. Sijunjung,126.31,123.48
Kab. Tanah Datar,198.36,194.38
Kab. Padang Pariaman,234.86,232.18
Kab. Agam,286,280.77
Kab. Lima Puluh Kota,203.56,202.15
Kab. Pasaman,163.13,159.81
Kab. Solok Selatan,100.75,97.76
Kab. Dharmasraya,125.58,122.52
Kab. Pasaman Barat,234.18,228.6
Kota Padang,483.84,481.21
Kota Solok,40.87,40.19
Kota Sawahlunto,35.05,34.64
Kota Padang Panjang,30.28,29.99
Kota Bukittinggi,62.81,63.11
Kota Payakumbuh,74.66,73.94
Kota Pariaman,50.28,49.17
Provinsi Sumatera Barat,2979.71,2934.59
