Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,404.3,394.5,806.1
5/9/01,366.1,354,724.5
10/14/01,369.4,344.7,704.9
15-19,421.5,392.1,808.3
20-24,415.3,397,813.9
25-29,402.4,394,799.6
30-34,379.3,378.6,763.2
35-39,348.8,354.7,708.6
40-44,323.6,334,660.9
45-49,300.3,317.8,622.5
50-54,263.6,286.4,555.8
55-59,222.8,249.9,478.5
60-64,177.3,207.1,390.7
65-69,129.5,158,292.4
70-74,88.4,113.8,205.8
75+,89.4,134.5,227.4
Jumlah/Total,4702,4811.3,9563.1
