Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,137.5,134.3,271.8
5/9/01,128.3,125,253.3
10/14/01,125.8,122.6,248.5
15-19,128.1,120.6,248.7
20-24,125.5,118.4,243.9
25-29,123.6,118.3,241.9
30-34,116.9,112.7,229.6
35-39,107.5,104.6,212.1
40-44,97.6,95.4,192.9
45-49,87.8,86.1,173.9
50-54,75,74.1,149.1
55-59,60.6,60.1,120.7
60-64,47.1,47.3,94.4
65-69,33.2,34.1,67.3
70-74,21.9,23.3,45.1
75+,19.8,23.8,43.6
Jumlah/Total,1436.3,1400.5,2836.7
,,,
Catatan,,,
