provinsi,laki_laki,perempuan,total_keseluruhan
Aceh,2825512,2800448,5625960
Babel,795200,755600,1550800
Bali,2234600,2226700,4461300
Banten,6369700,6167700,12537400
Bengkulu,1091256,1046788,2138044
Dki Jakarta,5360827,5317148,10677975
Gorontalo,626100,616200,1242300
Jambi,1914250,1854230,3768480
Jawa Barat,25682100,25076900,50759000
Jawa Tengah,19203434,19030499,38233933
Jawa Timur,20978500,21110800,42089300
Kalimantan Barat,2957074,2808956,5766030
Kalimantan Selatan,2185000,2138330,4323330
Kalimantan Tengah,1450000,1370000,2820000
Kalimantan Timur,1998730,1880778,3879508
Kalimantan Utara,389219,356237,745456
Kep Riau,1123800,1089700,2213500
Lampung,4857470,4665440,9522910
Maluku,996167,974396,1970563
Maluku Utara,704000,669800,1373800
Nusa Tenggara Barat,2832700,2813300,5646000
Nusa Tenggara Timur,2871257,2871307,5742564
Papua,560900,512700,1073600
Papua Barat,308424,279221,587645
Papua Barat Daya,331210,305230,636440
Papua Pegunungan,791080,693780,1484860
Papua Selatan,285030,264610,549640
Papua Tengah,793490,698850,1492340
Riau,3476706,3334452,6811158
Sulawesi Barat,772700,752700,1525400
Sulawesi Selatan,4702000,4811300,9513300
Sulawesi Tengah,1617200,1538900,3156100
Sulawesi Tenggara,1436300,1400500,2836800
Sulawesi Utara,1388200,1333200,2721400
Sumatera Barat,2979710,2934590,5914300
Sumatera Selatan,4542623,4385892,8928515
Sumatera Utara,7862993,7922846,15785839
Yogyakarta,1870100,1911400,3781500
