Indonesia,Aceh
adik,adek
air,ie
apa,peue
asin,masen
ayam,manoek
bagaimana,pakri
bambu,trieng
banyak,le
bawah,yub
bawang,bawang
belakang,likôt
belerang,cémpaga
beras,breueh
berat,geuhon
besar,agung
betis,beutéh
bisul,cumuet
bodoh,ngeut
bulan,buleuen
cacat,cacat
campur,jampu
celana,siluweueu
cepat,sigra
cincin,euncien
dada,dada
dagu,keueng
darah,darah
demam,deumam
dingin,leupie
dunia,donya
duri,duroe
durian,drien
gatal,gatai
gila,pungo
gunung,gunong
hidung,idông
hutan,uteuen
ibu,ibu
ikan,eungkôt
ingat,ingat
ini,nyoe
jatuh,reubah
jauh,jeuôh
kaki,gaki
kambing,kaméng
kecil,ubit
keluar,teubiet
kenyang,troe
kepala,ulèe
kerbau,keubeue
kumis,mise
kuning,kuneng
lalat,lalat
lama,treb
langit,langet
laut,laôt
lidah,lidah
lupa,tuwo
maaf,meuah
mahal,meuhai
makan,pajoh
maksud,meukeusud
malam,malam
malu,malee
mandi,manoe
membaca,baca
mengamuk,ngamok
minum,jéb
pergi,weh
perut,pruet
pukul,poh
ranting,ranteng
rasa,rasa
rebus,reboih
retak,reutak
sakit,sakét
sama,sama
"satu, esa",sa
sedikit,bacut
selasa,seulasa
sudah,ka
takut,yo
terbang,teureubang
tetap,teutap
tikar,tika
tongkat,tungkat
uang,peng
ulat,ulat
umur,umu
waktu,watèe
yang,nyang
