Indonesia,Jawa
adik,"adhi, unting"
air,"banyu, toya"
apa,apa
asin,asin
ayam,"ayam, pitik"
bagaimana,"kados pundi, kadospundi, piye, pripun, uyup"
bambu,"bambet, deling"
banyak,ukèh
bawah,"isor, ngandhap, ngisor"
bawang,"bawang, brambang"
belakang,"buri, wadanan, wadanan"
belerang,wadé
beras,"beras, wadhas"
berat,"abot,awrat"
besar,"gedhé, kabir, ageng"
betis,wagel
bisul,"udun, wajir"
bodoh,"bodho, congok, cubluk, geblek"
bulan,"bulan, candra"
cacat,cacat
campur,campur
celana,"clana, sruwal, kathok"
cepat,"gagé, gelis"
cincin,sesupé
dada,"dhadha, jaja"
dagu,janggut
darah,"dhidhih, getih, rah"
demam,adhem panas
dingin,"adhem, asrep"
dunia,"donya, jagad"
duri,eri
durian,duren
gatal,gatel
gila,"édan, gendheng, kucluk, owah, owah adat"
gunung,"arga, jabal, ukir, wanci"
hidung,"grana, irung"
hutan,"wangkal, alas, wana"
ibu,"ibu, simbok, biyung"
ikan,"iwak, ulam"
ingat,"ènget, inget, eling"
ini,"iki, menika, punika"
jatuh,"dhawah, lugur, tiba, ceblok"
jauh,"adoh, tebih"
kaki,"ceker, tokor, sikil"
kambing,"wanguné, wedhus, menda"
kecil,"alit, cilik"
keluar,"wanti-wanti, metu, medal"
kenyang,"warah, wareg, tuwuk"
kepala,"gundhul, endhas, sirah"
kerbau,"maésa, mambet"
kumis,rawis
kuning,"kuning, jené"
lalat,laler
lama,"dangu, lami, suwi"
langit,"awang-awang, langit, tawang"
laut,"watak, samodra"
lidah,"ilat, lidhan"
lupa,"kelalèn, lali"
maaf,"maklum, ngapuro, sepura"
mahal,"awis, larang"
makan,"dhahar, madhang, maem, mangan, mbadhog, nedha, padhang"
maksud,angkah
malam,"bengi, dalu, waton"
malu,"isin, lingsem, watu"
mandi,"adus, siram"
membaca,"maca,maos,wawratan"
mengamuk,"amuk, iwung, ngamuk, ngiwung"
minum,"mimik, ngombe, inum, ombe, unjuk"
pergi,"kesah, lungo, minggat, tindak"
perut,"padharan, wilang, wilangan"
pukul,"gepuk, kaplok, pongor"
ranting,carang
rasa,"rasa, raos"
rebus,godhog
retak,rapuh
sakit,"gerah, gering, lara, sakit"
sama,"sama, sami, padha"
"satu, esa","siji, setunggal"
sedikit,"ipit, saipit, thithik"
selasa,anggara
sudah,"wudhar, wudun, uwis, sampun"
takut,"wuri, wedi, ajrih"
terbang,"iberé, miber, mabur"
tetap,pancet
tikar,"ampar, samak, klasa"
tongkat,"lantaran, teken"
uang,"arta, dhuwit, yaksa"
ulat,uler
umur,"umur, yamèn"
waktu,"yèn, yeng-yengan, yer-yeran"
yang,ingkang
