Provinsi,Ibu Kota Wilayah,Luas Wilayah (Km2),Persentase Terhadap Luas Wilayah,Jumlah Pulau
Aceh,NaN,56835.02,3.01,365
Sumatera Utara,NaN,72437.76,3.83,228
Sumatera Barat,NaN,42107.67,2.23,219
Riau,NaN,89900.78,4.76,144
Jambi,NaN,49023.04,2.59,14
Sumatera Selatan,NaN,86771.92,4.59,24
Bengkulu,NaN,20122.21,1.07,9
Lampung,NaN,33570.76,1.78,172
Kepulauan Bangka Belitung,NaN,16670.23,0.88,501
Kepulauan Riau,NaN,8170.38,0.43,2028
DKI Jakarta,NaN,661.53,0.04,113
Jawa Barat,NaN,37053.33,1.96,30
Jawa Tengah,NaN,34347.43,1.82,71
DI Yogyakarta,NaN,3170.36,0.17,37
Jawa Timur,NaN,48055.88,2.54,538
Banten,NaN,9355.76,0.5,80
Bali,NaN,5582.83,0.3,41
Nusa Tenggara Barat,NaN,19631.99,1.04,430
Nusa Tenggara Timur,NaN,46378.11,2.45,653
Kalimantan Barat,NaN,147018.06,7.78,260
Kalimantan Tengah,NaN,153430.36,8.12,71
Kalimantan Selatan,NaN,37125.43,1.96,165
Kalimantan Timur,NaN,126951.76,6.72,244
Kalimantan Utara,NaN,69900.89,3.7,196
Sulawesi Utara,NaN,14488.43,0.77,382
Sulawesi Tengah,NaN,61496.98,3.25,1600
Sulawesi Selatan,NaN,45323.98,2.4,394
Sulawesi Tenggara,NaN,36139.3,1.91,591
Gorontalo,NaN,12024.98,0.64,127
Sulawesi Barat,NaN,16590.67,0.88,69
Maluku,NaN,46133.83,2.44,1422
Maluku Utara,NaN,31465.98,1.67,975
Papua Barat,NaN,60308.59,3.19,1498
Papua Barat Daya1,NaN,39103.06,2.07,3082
Papua,NaN,81383.32,4.31,544
Papua Selatan,NaN,117858.97,6.24,7
Papua Tengah,NaN,61079.59,3.23,50
Papua Pegunungan,NaN,52508.66,2.78,–
Indonesia,NaN,1890179.78,100,17380
,,,,
Catatan,,,,
<sup>,,,,
"1</sup>Undang-Undang RI Nomor 29 Tahun 2022 tentang Pembentukan Provinsi Papua Barat Daya/<i>Law No 29 0f 2022 on Formation of Papua Barat Daya Province</i><sup>2</sup>Keputusan Menteri Dalam Negeri Nomor 300.2.2-2430 Tahun 2025 tanggal 23 Juni 2025/<i>Ministerial Decree of Home Affairs Number 300.2.2-2430, 23 Juni 2025</i><sup>3</sup>Jumlah pulau termasuk 6 pulau besar (Sumatera, Jawa, Kalimantan, Sulawesi, Timor, dan Papua)/<i>Including 6 islands (Sumatera, Jawa, Kalimantan, Sulawesi, Timor, and Papua) </i>",,,,
